분류,상세설명,여행지,장소,전화번호,주소,Latitude,Longitude
"여행,명소 > 보물","1963년 1월 21일 보물 제165호로 지정되었다. 정면 3칸, 측면 2칸의 단층 팔작지붕 양식이다. 신사임당과 율곡(栗谷) 이이(李珥)가 태어난 집으로 조선 중종 때 건축되었다. 한국 주택건축 중에서 가장 오래된 건물에 속한다. 4면을 굵은 댓돌로 한 층 높이고 그 위에 자연석의 초석을 배치하여 네모기둥을 세웠다.건물을 향하여 왼쪽 2칸은 대청이며 오른쪽 1칸에 온돌방을 들였으며, 대청 앞면에는 각각 띠살문의 분합(分閤)을, 옆면과 뒷면에는 2짝 씩의 판문(板門)을 달고, 그 아래 벽면에 머름을 댔다. 온돌방은 뒤쪽 반 칸을 줄여 툇마루를 만들고, 앞벽과 뒷벽에 두짝열개의 띠살문을 단 것 이외는 모두 외짝문이다. 천장은 온돌방이 종이천장이고 대청은 연등천장으로 꾸몄다. 대들보는 앞뒤 기둥에 걸쳤으나, 온돌방과의 경계에 있는 대량(大樑)은 그 아래 중앙에 세운 기둥으로 받쳤다. 대량에서 좌우 측면의 가운데 기둥에 걸쳐서는 충량(衝樑)을 배치하였으며, 그 상부에는 지붕 합각(合閣) 밑을 가리기 위하여 우물천장을 만들었다. 대량 위로 종량(宗樑)과의 사이에는 대공을 받쳤는데 그 형식은 오래된 수법을 따르고 있으며, 조선 초기의 주심포(柱心包)집에서 볼 수 있는 대공의 계통을 이은 것이다. 기둥머리에 배치된 공포(栱包)는 주택건축에서 보기 드문 이익공형식(二翼工形式)이며 그 세부 수법으로 보아 가장 오래된 익공집 건축으로 추측된다. 그러나 쇠서의 곡선에는 굴곡이 남아 있고, 첨차(檐遮)의 형태는 말기적인 주심포집과 공통되는 특징을 지녀 주심포집에서 익공집으로의 변천과정을 보여주는 중요한 구조이다.지식백과",강원강릉시,오죽헌,033-660-3301,강원도 강릉시 율곡로3139번길 24 오죽헌지번강원도 강릉시 죽헌동 201,37.7794333,128.8781398
"여행,명소 > 해수욕장,해변","깨끗한 바다 속 수중 다이빙을 즐길 수 있는개장기간 : 매년 7~8월 중요금입장료 무료특징수중 다이빙 및 수중경관 감상면적: 1,266㎡시설 및 제공서비스 : 샤워실 탈의실 화장실 급수대해양관광포털 바다여행",강원강릉시,강문해변,033-640-4920,강원도 강릉시 강문동,37.7897339,128.9200001
"여행,명소 > 해수욕장,해변","봄부터 겨울까지 즐기는 사계절 관광지개장기간 : 매년 7~8월 중요금입장료,경포놀이공원, 모터보트, 경포 관광마차면적: 25,000㎡시설 및 제공서비스 : 화장실 급수대해양관광포털 바다여행",강원강릉시,경포해변,033-640-4901,강원도 강릉시 강문동 산1-1,37.8021006,128.9113929
"여행,명소 > 해수욕장,해변","부드러운 모래가 넓게 펼쳐진 백사장이 있는개장기간 : 매년 7~8월 중요금입장료 무료면적: 2,500㎡시설 및 제공서비스 : 샤워실 탈의실 화장실 급수대 매점 파라솔 야영장해양관광포털 바다여행",강원강릉시,안목해변,,강원도 강릉시 창해로14번길 20-1지번강원도 강릉시 견소동 286,37.7725933,128.9472775
"여행,명소 > 자연명소","전국 최고의 해돋이 명승지개장기간 : 연중무휴요금입장료 무료주차가능대수: 99대(2,479㎡)시설 및 제공서비스 : 화장실 매점해양관광포털 바다여행",강원강릉시,정동진,033-640-4536,강원도 강릉시 강동면,37.7280308,128.9541928
"여행,명소 > 항구","항내수면적 21만 m2. 선적시설인 물양장 1,018m. 잔교 2기. 외곽시설인 방파제 882m. 방사제 432m. 동해안 유수의 어업전진기지로 오징어 ·명태 ·꽁치 ·무연탄 ·경유 등이 입항하고 출항화물은 주로 규사이다. 항구에 여객 및 화물선이 처음 입항한 것은 1917년에 부산∼원산 간 기선항로가 개설되어 중간 기항지가 되면서부터이다. 1920년부터 축항사업이 시작되었으며, 1927년 6월에 항구로 지정되었다. 그 후 시설보강, 보수사업 등을 거쳐 오늘날의 시설능력을 갖추기는 1962년 이후이다.지식백과",강원강릉시,주문진항,033-662-3639,강원도 강릉시 주문진읍 주문리,37.8990315,128.8227808
"여행,명소 > 호수,연못,저수지","경호(鏡湖)라고도 한다. 시의 중심가에서 북쪽으로 약 6 km 지점에 있으며, 서쪽으로는 유천(楡川) 등의 작은 하천들이 흘러든다. 본래 주위가 12 km에 달하는 큰 호수였다고 하나, 현재는 흘러드는 토사의 퇴적으로 주위가 4 km로 축소되고, 수심도 1∼2 m 정도로 얕아졌다. 호반 서쪽의 작은 언덕 위에 세워진 경포대는 예로부터 경포호를 배경으로 한 관동8경 가운데 하나로 유명하다. 경포호는 호수 주위의 오래 된 소나무 숲과 벚나무가 유명하며, 경포호를 동해로부터 분리시키고 있는 해안사주(海岸沙洲)는 경포해수욕장을 이루고 있다.지식백과",강원강릉시,경포호,,강원도 강릉시 저동,37.7981294,128.8925034
"여행,명소 > 관광농원,팜스테이",라벤더 축제 취소 되었습니다.,강원고성군,하늬라벤더팜,033-681-0005,강원도 고성군 간성읍 꽃대마을길 175지번강원도 고성군 간성읍 어천리 786-5,38.3486203,128.4149391
"여행,명소 > 해수욕장,해변",깨끗한 백사장과 얕은 수심으로 가족단위 피서지로 적합한개장기간 : 매년 7~8월 중요금입장료 무료주차장(1개소)시설 및 제공서비스 : 샤워실 화장실 매점 파라솔해양관광포털 바다여행,강원고성군,아야진해수욕장,033-680-3356,강원도 고성군 토성면,38.2571927,128.558578
"여행,명소 > 해수욕장,해변",천혜의 경관속에서 푸른 바다 소리를 느낄 수 있는개장기간 : 매년 7~8월 중요금입장료 무료주차가능시설 및 제공서비스 : 샤워실 탈의실 화장실 급수대 매점 파라솔 야영장해양관광포털 바다여행,강원고성군,송지호해수욕장,033-680-3356,강원도 고성군 죽왕면,38.3288177,128.5255585
"여행,명소 > 전망대","동해안 지역의 금강산 비로봉(毘盧峰:1,639m)과 해금강(海金剛)을 바라볼 수 있고, 나아가 반공교육에도 도움을 줄 목적으로 1983년 7월 26일 착공해 이듬해 2월 9일 준공하였다. 북위 38.35˚에 위치하며, 해발고도 70m에 높이 8.8m의 2층 슬래브 건물이다. 연건평은 104평이며, 1층과 2층 각 52평씩으로 구성되어 있다.1층은 멸공관으로, 민족의 얼, 멸공의 의지, 통일을 향한 전진 등 3실로 세분해 6·25전쟁 당시부터 현재까지의 각종 무기와 장비, 금강산의 대형 모형·사진 등이 전시되어 있다. 2층에는 120석의 좌석을 배치하고, 북쪽 면은 모두 유리창으로 만들어 북한의 금강산과 해금강을 한눈에 볼 수 있도록 배치하였다. 전망대 주변에는 지름 1.25m, 높이 1.87m의 통일기원범종과 전등 1,500개가 달린 전진십자철탑, 민족웅비탑, 마리아상, 통일미륵불, 351고지 전투전적지 등이 있다.전망대에서 금강산까지는 최단 16㎞, 최장 25㎞밖에 되지 않아 일출봉(日出峰:1,552m)·월출봉(月出峰)·채하봉(彩霞峰:1,588m)·육선봉(六仙峰)과 집선봉(集仙峰)·세존봉(世尊峰)·옥녀봉(玉女峰:1,424m)·신선대(神仙臺)·관음봉(觀音峰) 등 금강산의 대표적인 봉우리를 볼 수 있다. 그러나 최고봉인 비로봉은 맑은 날에만 보인다. 해금강은 더욱 가까워 만물상(萬物相)·부처바위·백바위·구선봉(九仙峰) 외에 선녀와 나무꾼의 전설로 유명한 감호(鑑湖) 등 해금강 전체를 한눈에 바라볼 수 있다.통일전망대에 가기 위해서는 10㎞ 남쪽에 있는 통일안보공원을 거쳐야 하며, 소정의 교육을 받아야 한다. 매년 150만 명에 달하는 실향민과 관광객이 찾는다. 주변 볼거리로는 대진항·화진포호(花津浦湖)·화진포해수욕장과 남한 최북단 마을 명파리, 역사안보전시관 등이 있다.지식백과",강원고성군,통일전망대,033-682-0088,강원도 고성군 현내면 금강산로 481지번강원도 고성군 현내면 마차진리 188,38.514776,128.4173869
